variable_name,column_number_ttgintt4,source_type,teacher_questionnaire_question,item,section,description,response_scale_or_values,available_idpop,available_files,recommended_cleaning_note
TT4G59E,297,teacher questionnaire item,Q59,E,Teaching in the target class,"Support, barriers, or confidence related to digital technology use. Item E.",Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G59F,298,teacher questionnaire item,Q59,F,Teaching in the target class,"Support, barriers, or confidence related to digital technology use. Item F.",Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G60A,299,teacher questionnaire item,Q60,A,Teaching in the target class,Teacher practices related to digital resources/tools. Item A.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G60B,300,teacher questionnaire item,Q60,B,Teaching in the target class,Teacher practices related to digital resources/tools. Item B.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G60C,301,teacher questionnaire item,Q60,C,Teaching in the target class,Teacher practices related to digital resources/tools. Item C.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G60D,302,teacher questionnaire item,Q60,D,Teaching in the target class,Teacher practices related to digital resources/tools. Item D.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G60E,303,teacher questionnaire item,Q60,E,Teaching in the target class,Teacher practices related to digital resources/tools. Item E.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G61A,304,teacher questionnaire item,Q61,A,Teaching in the target class,School support for digital resources/tools. Item A.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G61B,305,teacher questionnaire item,Q61,B,Teaching in the target class,School support for digital resources/tools. Item B.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G61C,306,teacher questionnaire item,Q61,C,Teaching in the target class,School support for digital resources/tools. Item C.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G61D,307,teacher questionnaire item,Q61,D,Teaching in the target class,School support for digital resources/tools. Item D.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G61E,308,teacher questionnaire item,Q61,E,Teaching in the target class,School support for digital resources/tools. Item E.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G61F,309,teacher questionnaire item,Q61,F,Teaching in the target class,School support for digital resources/tools. Item F.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G62A,310,teacher questionnaire item,Q62,A,Teaching in the target class,Teacher needs or experiences related to digital technology. Item A.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G62B,311,teacher questionnaire item,Q62,B,Teaching in the target class,Teacher needs or experiences related to digital technology. Item B.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G62C,312,teacher questionnaire item,Q62,C,Teaching in the target class,Teacher needs or experiences related to digital technology. Item C.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G62D,313,teacher questionnaire item,Q62,D,Teaching in the target class,Teacher needs or experiences related to digital technology. Item D.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G63A,314,teacher questionnaire item,Q63,A,Teaching in the target class,Teacher perceptions of technology use. Item A.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G63B,315,teacher questionnaire item,Q63,B,Teaching in the target class,Teacher perceptions of technology use. Item B.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G63C,316,teacher questionnaire item,Q63,C,Teaching in the target class,Teacher perceptions of technology use. Item C.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G63D,317,teacher questionnaire item,Q63,D,Teaching in the target class,Teacher perceptions of technology use. Item D.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G64A,318,teacher questionnaire item,Q64,A,Teaching in the target class,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item A.",Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G64B,319,teacher questionnaire item,Q64,B,Teaching in the target class,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item B.",Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G64C,320,teacher questionnaire item,Q64,C,Teaching in the target class,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item C.",Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G64D,321,teacher questionnaire item,Q64,D,Teaching in the target class,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item D.",Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G64E,322,teacher questionnaire item,Q64,E,Teaching in the target class,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item E.",Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G64F,323,teacher questionnaire item,Q64,F,Teaching in the target class,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item F.",Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G64G,324,teacher questionnaire item,Q64,G,Teaching in the target class,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item G.",Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G64H,325,teacher questionnaire item,Q64,H,Teaching in the target class,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item H.",Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G64I,326,teacher questionnaire item,Q64,I,Teaching in the target class,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item I.",Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G64J,327,teacher questionnaire item,Q64,J,Teaching in the target class,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item J.",Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G64K,328,teacher questionnaire item,Q64,K,Teaching in the target class,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item K.",Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G64L,329,teacher questionnaire item,Q64,L,Teaching in the target class,"Artificial intelligence use, preparation, or perceptions for teaching and learning. Item L.",Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G65A,330,teacher questionnaire item,Q65,A,Teaching in the target class,"Artificial intelligence support, barriers, or practices. Item A.",Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G65B,331,teacher questionnaire item,Q65,B,Teaching in the target class,"Artificial intelligence support, barriers, or practices. Item B.",Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G65C,332,teacher questionnaire item,Q65,C,Teaching in the target class,"Artificial intelligence support, barriers, or practices. Item C.",Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G65D,333,teacher questionnaire item,Q65,D,Teaching in the target class,"Artificial intelligence support, barriers, or practices. Item D.",Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G66A,334,teacher questionnaire item,Q66,A,Teaching in the target class,Teacher/student use of digital or AI-related tools. Item A.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G66B,335,teacher questionnaire item,Q66,B,Teaching in the target class,Teacher/student use of digital or AI-related tools. Item B.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G66C,336,teacher questionnaire item,Q66,C,Teaching in the target class,Teacher/student use of digital or AI-related tools. Item C.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G66D,337,teacher questionnaire item,Q66,D,Teaching in the target class,Teacher/student use of digital or AI-related tools. Item D.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G66E,338,teacher questionnaire item,Q66,E,Teaching in the target class,Teacher/student use of digital or AI-related tools. Item E.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G66F,339,teacher questionnaire item,Q66,F,Teaching in the target class,Teacher/student use of digital or AI-related tools. Item F.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G66G,340,teacher questionnaire item,Q66,G,Teaching in the target class,Teacher/student use of digital or AI-related tools. Item G.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G66H,341,teacher questionnaire item,Q66,H,Teaching in the target class,Teacher/student use of digital or AI-related tools. Item H.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G66I,342,teacher questionnaire item,Q66,I,Teaching in the target class,Teacher/student use of digital or AI-related tools. Item I.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G66J,343,teacher questionnaire item,Q66,J,Teaching in the target class,Teacher/student use of digital or AI-related tools. Item J.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G67A,344,teacher questionnaire item,Q67,A,Teaching in the target class,Additional technology or AI-related teaching items. Item A.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G67B,345,teacher questionnaire item,Q67,B,Teaching in the target class,Additional technology or AI-related teaching items. Item B.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G67C,346,teacher questionnaire item,Q67,C,Teaching in the target class,Additional technology or AI-related teaching items. Item C.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G67D,347,teacher questionnaire item,Q67,D,Teaching in the target class,Additional technology or AI-related teaching items. Item D.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68A1,348,teacher questionnaire item,Q68,A1,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item A1.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68A2,349,teacher questionnaire item,Q68,A2,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item A2.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68A3,350,teacher questionnaire item,Q68,A3,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item A3.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68A4,351,teacher questionnaire item,Q68,A4,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item A4.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68B1,352,teacher questionnaire item,Q68,B1,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item B1.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68B2,353,teacher questionnaire item,Q68,B2,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item B2.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68B3,354,teacher questionnaire item,Q68,B3,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item B3.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68B4,355,teacher questionnaire item,Q68,B4,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item B4.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68C1,356,teacher questionnaire item,Q68,C1,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item C1.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68C2,357,teacher questionnaire item,Q68,C2,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item C2.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68C3,358,teacher questionnaire item,Q68,C3,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item C3.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68C4,359,teacher questionnaire item,Q68,C4,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item C4.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68D1,360,teacher questionnaire item,Q68,D1,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item D1.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68D2,361,teacher questionnaire item,Q68,D2,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item D2.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68D3,362,teacher questionnaire item,Q68,D3,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item D3.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68D4,363,teacher questionnaire item,Q68,D4,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item D4.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68E1,364,teacher questionnaire item,Q68,E1,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item E1.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68E2,365,teacher questionnaire item,Q68,E2,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item E2.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68E3,366,teacher questionnaire item,Q68,E3,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item E3.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68E4,367,teacher questionnaire item,Q68,E4,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item E4.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68F1,368,teacher questionnaire item,Q68,F1,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item F1.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68F2,369,teacher questionnaire item,Q68,F2,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item F2.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68F3,370,teacher questionnaire item,Q68,F3,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item F3.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G68F4,371,teacher questionnaire item,Q68,F4,Use of technology and artificial intelligence,Frequency grid for technology/artificial-intelligence-related use cases. Item F4.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G69A,372,teacher questionnaire item,Q69,A,Use of technology and artificial intelligence,School or classroom practices related to digital technology/artificial intelligence. Item A.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G69B,373,teacher questionnaire item,Q69,B,Use of technology and artificial intelligence,School or classroom practices related to digital technology/artificial intelligence. Item B.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G69C,374,teacher questionnaire item,Q69,C,Use of technology and artificial intelligence,School or classroom practices related to digital technology/artificial intelligence. Item C.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G69D,375,teacher questionnaire item,Q69,D,Use of technology and artificial intelligence,School or classroom practices related to digital technology/artificial intelligence. Item D.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G69E,376,teacher questionnaire item,Q69,E,Use of technology and artificial intelligence,School or classroom practices related to digital technology/artificial intelligence. Item E.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G69F,377,teacher questionnaire item,Q69,F,Use of technology and artificial intelligence,School or classroom practices related to digital technology/artificial intelligence. Item F.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G69G,378,teacher questionnaire item,Q69,G,Use of technology and artificial intelligence,School or classroom practices related to digital technology/artificial intelligence. Item G.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G69H,379,teacher questionnaire item,Q69,H,Use of technology and artificial intelligence,School or classroom practices related to digital technology/artificial intelligence. Item H.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G70A,380,teacher questionnaire item,Q70,A,Use of technology and artificial intelligence,Teacher views on digital/AI opportunities or risks. Item A.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G70B,381,teacher questionnaire item,Q70,B,Use of technology and artificial intelligence,Teacher views on digital/AI opportunities or risks. Item B.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G70C,382,teacher questionnaire item,Q70,C,Use of technology and artificial intelligence,Teacher views on digital/AI opportunities or risks. Item C.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
TT4G70D,383,teacher questionnaire item,Q70,D,Use of technology and artificial intelligence,Teacher views on digital/AI opportunities or risks. Item D.,Target-class/digital/AI item; scale varies by question. See teacher questionnaire/codebook.,"1,2,3","atgintt4, btgintt4, ctgintt4, ttgintt4",Recode TALIS special missing/skip/not-administered codes only after checking official value labels.
