new_name,variable_name,description
teacher_replicate_weight_1,TRWGT2,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_2,TRWGT3,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_3,TRWGT4,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_4,TRWGT5,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_5,TRWGT6,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_6,TRWGT7,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_7,TRWGT8,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_8,TRWGT9,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_9,TRWGT10,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_10,TRWGT11,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_11,TRWGT12,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_12,TRWGT13,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_13,TRWGT14,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_14,TRWGT15,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_15,TRWGT16,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_16,TRWGT17,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_17,TRWGT18,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_18,TRWGT19,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_19,TRWGT20,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_20,TRWGT21,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_21,TRWGT22,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_22,TRWGT23,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_23,TRWGT24,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_24,TRWGT25,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_25,TRWGT26,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_26,TRWGT27,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_27,TRWGT28,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_28,TRWGT29,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_29,TRWGT30,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_30,TRWGT31,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_31,TRWGT32,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_32,TRWGT33,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_33,TRWGT34,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_34,TRWGT35,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_35,TRWGT36,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_36,TRWGT37,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_37,TRWGT38,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_38,TRWGT39,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_39,TRWGT40,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_40,TRWGT41,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_41,TRWGT42,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_42,TRWGT43,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_43,TRWGT44,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_44,TRWGT45,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_45,TRWGT46,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_46,TRWGT47,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_47,TRWGT48,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_48,TRWGT49,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_49,TRWGT50,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_50,TRWGT51,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_51,TRWGT52,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_52,TRWGT53,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_53,TRWGT54,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_54,TRWGT55,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_55,TRWGT56,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_56,TRWGT57,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_57,TRWGT58,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_58,TRWGT59,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_59,TRWGT60,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_60,TRWGT61,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_61,TRWGT62,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_62,TRWGT63,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_63,TRWGT64,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_64,TRWGT65,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_65,TRWGT66,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_66,TRWGT67,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_67,TRWGT68,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_68,TRWGT69,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_69,TRWGT70,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_70,TRWGT71,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_71,TRWGT72,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_72,TRWGT73,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_73,TRWGT74,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_74,TRWGT75,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_75,TRWGT76,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_76,TRWGT77,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_77,TRWGT78,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_78,TRWGT79,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_79,TRWGT80,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_80,TRWGT81,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_81,TRWGT82,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_82,TRWGT83,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_83,TRWGT84,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_84,TRWGT85,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_85,TRWGT86,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_86,TRWGT87,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_87,TRWGT88,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_88,TRWGT89,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_89,TRWGT90,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_90,TRWGT91,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_91,TRWGT92,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_92,TRWGT93,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_93,TRWGT94,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_94,TRWGT95,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_95,TRWGT96,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_96,TRWGT97,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_97,TRWGT98,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_98,TRWGT99,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
teacher_replicate_weight_99,TRWGT100,Teacher replicate weight. Use with TALIS replicate-weight procedures for standard errors.
public_use_file_version,VERSION,Public-use file version.
iea_oecd_data_file_release_date,IEADATE,IEA/OECD data file release date.
